保険会社が決算において、未経過の保険期間において保険責任を遂行するために必要な金額を負債として認識するものを何というか。,責任準備金
責任準備金の評価において、将来のキャッシュ・フローの期待値に、その期待値が変動する不確実性を付加するものを何というか。,リスク・マージン
収益たる保険料から当該収益に対応する既発生費用を控除した残額を未発生費用として認識する責任準備金の算出方法を何というか。,収支残高法
費用は時間の経過に比例して発生するものと考え、未経過期間に対応する収益を未発生費用として認識する責任準備金の算出方法を何というか。,未経過保険料法
損害保険の収支変動の要因は、概念的に3つに整理されるが、そのうち「通常の_____による収支の変動」が一つ目である。,確率変動
損害保険の収支変動の要因として、「_____が機能しないことによる収支の変動」がある。,短期間で大数の法則
損害保険の収支変動の要因として、「_____により期待値水準が変動することによる収支の変動」がある。,リスクの構造変化
責任準備金の役割は３つにまとめられるが、その一つは「未経過責任に対する_____としての役割」である。,期待値
責任準備金の役割の一つは、「_____が短期的に機能しないことやリスクの構造変化に対応する役割」である。,大数の法則
責任準備金の役割の一つは、「通常の期待損失額を大きく上回る_____に備えるための役割」である。,損害
保険会社に責任準備金の積立てを義務付けている法律の条文は何か。,保険業法第116条
損害保険会社の責任準備金の種類を具体的に規定している法令は何か。,保険業法施行規則第70条
保険業法施行規則第70条第１項第１号に規定される責任準備金は何か。,普通責任準備金
保険業法施行規則第70条第１項第２号に規定される責任準備金は何か。,異常危険準備金
保険業法施行規則第70条第１項第２号の２に規定される責任準備金は何か。,危険準備金
保険業法施行規則第70条第１項第３号に規定される責任準備金は何か。,払戻積立金
決算処理において、前期末の残高を全額戻し入れ、当期要積立額を繰り入れる処理を何というか。,洗替処理
洗替処理を行う責任準備金の例を２つ挙げよ。,普通責任準備金、払戻積立金
普通責任準備金は、何と何のいずれか大きい方を積み立てることとされているか。,「保険料積立金と未経過保険料の合計額」と「初年度収支残高」
保険業法施行規則第70条で「保険契約に基づく将来の債務の履行に備えるため、保険数理に基づき計算した金額」と規定されているのは何か。,保険料積立金
保険料積立金を積み立てる対象となる損害保険商品は、主にどのようなものがあるか。,がん保険、医療保険、介護保険等の長期の人保険
金融庁長官が責任準備金の積立方法および計算の基礎となる係数の水準を定める制度を何というか。,標準責任準備金
標準責任準備金の積立方式として採用されているのは何か。,平準純保険料式
標準責任準備金の対象とならない保険契約の例を２つ挙げよ。,保険期間が１年以下の保険契約、変額保険
収入保険料を基礎として、未経過期間に対応する責任に相当する額として計算した金額を何というか。,未経過保険料
未経過保険料の近似計算法のうち、保険期間の始期がすべて月央にあると考える方法を何というか。,1/24法
有効保険料を基準に未経過保険料を計算する場合、1/12法と1/24法のどちらがより実態に近い値となるか。,1/24法
分割払契約の未経過保険料は、その既経過保険料割合が_____の既経過保険料割合と一致するように算出される。,一括払
船舶保険中の航海保険や貨物保険では、決算日直近の数ヶ月分の_____を未経過保険料とする。,計上保険料
大規模自然災害リスクに対応するため、平成17年度から火災保険に導入された責任準備金は何か。,自然災害リスクに対応した普通責任準備金（未経過保険料）および異常危険準備金
自然災害リスクに対応した未経過保険料の計算式における「R」は何を表すか。,大規模自然災害ファンド（大規模自然災害リスクに対応する保険料の額として、リスクモデルにより合理的に推計した支払保険金の期待値）
自然災害リスクに対応した未経過保険料の計算において、大規模自然災害リスクとは、リスクカーブにおいて超過確率が何パーセント点に対応する災害を超える規模の災害をいうか。,3.3パーセント点（再現期間30年）
普通責任準備金を構成する要素の一つで、当該事業年度の収入保険料から、保険金、返戻金、支払備金、事業費を控除した金額を何というか。,初年度収支残高
初年度収支残高を積み立てる場合、当該年度契約に係る損益はいつ認識されるか。,翌年度
初年度収支残高は、２年間で締め切る_____による責任準備金であるといえる。,契約年度別収支計算法
単年度では大数の法則が機能しないリスクのため、複数事業年度にわたり累積的に積立てを行う責任準備金を何というか。,異常危険準備金
異常危険準備金について、積立後10年経過した残高のうち、一定の保証率を超える部分を取り崩す規定を何というか。,10年洗替規定
算方書上の異常危険準備金の規定と税法上の規定では、どちらが会社の担保力確保を目的としているか。,算方書上の規定
異常危険準備金の計算は、保険種類ごとではなく、所定の_____単位で行われる。,グループ
大蔵省告示（平成10年第232号）において、火災保険の異常危険準備金の積立上限額は、何に対応する災害が発生した場合の推定正味支払保険金を下回らない額とされているか。,再現期間70年に対応する災害
大蔵省告示（平成10年第232号）の別表で、火災グループの異常災害損失は、損害率が何パーセントを超える損害と定義されているか。,50%
大蔵省告示（平成10年第232号）の別表で、船舶・航空グループの異常災害損失は、損害率が何パーセントを超える損害と定義されているか。,80%
2022年度税制改正により、従来の火災グループは3つに分割された。その3つのグループとは何か。,火災グループ、貨物・運送グループ、賠償責任グループ
損害保険会社において、平成19年度より導入された危険準備金は２種類あるが、それは何か。,第三分野保険の保険リスクに備える危険準備金（危険準備金Ⅳ）と、予定利率リスクに備える危険準備金（危険準備金Ⅱ）
危険準備金Ⅳ（第三分野保険の保険リスクに備える危険準備金）の算出のために実施するものは何か。,ストレステスト
危険準備金Ⅳのストレステストで、通常の予測を超える範囲でリスクをカバーする保険事故発生率を何というか。,危険発生率A
危険準備金Ⅳのストレステストで、危険発生率Aは一定の確率を何パーセントとして設定するか。,99%
危険準備金Ⅳのストレステストで、危険発生率Bは一定の確率を何パーセントとして設定するか。,97.7%
"危険準備金Ⅳのストレステストの結果、`A > P ≧ B` の場合、積立限度額はどう計算されるか。（A: 危険発生率Aに基づく将来給付額, B: 危険発生率Bに基づく将来給付額, P: 予定発生率に基づく将来給付額）",`A - P`
危険準備金Ⅳの取崩基準は、どのような損失がある場合に、そのてん補に充てるときと定められているか。,死差損
危険準備金Ⅳのストレステストの結果、「B > P」となった場合に、危険準備金Ⅳの積立てとともに行う必要があるものは何か。,負債十分性テスト
危険準備金Ⅱが備えるリスクは何か。,予定利率リスク（責任準備金の算出の基礎となる予定利率を確保できなくなる危険）
危険準備金Ⅱの積立額は、「予定利率リスク相当額の増加額」と「_____に100分の5を乗じて得た額」の合計額以上とされている。,利差益
危険準備金Ⅱの取崩基準は、どのような損失がある場合に、そのてん補に充てるときと定められているか。,利差損
