損害保険会社のリスク管理において、事業の健全性と収益性の調和が求められるのはなぜですか？,一般企業と同様の収益機会追求に加え、国民経済における保障機能の安定的供給と保険契約者等の利益保護が求められるためです。
リスク管理の三つの側面のうち、第一の防衛線と位置づけられるものは何ですか？,企業内部で実施される堅実なリスク管理（ERMを含む）です。
リスク管理の三つの側面のうち、第二の防衛線と位置づけられるものは何ですか？,保険監督の柱の一つである必要資本要件を中心とした支払能力（ソルベンシー）に対する規制です。
第一、第二の防衛線を越えて保険会社が破綻した場合のセーフティネットとなる制度は何ですか？,保険契約者等保護制度です。
このテキストにおいて、「リスク」はどのように定義されていますか？,「期待と実際の結果との乖離」として定義されています。
IAIS（保険監督者国際機構）が保険基本原則（ICP）で保険会社に求める4つの統制機能は何ですか？,リスク管理機能、コンプライアンス機能、保険数理機能、内部監査機能です。
IAISが保険基本原則（ICP）で、リスク管理において少なくとも取り扱うべきと指定しているリスクの種類を挙げてください。,保険引受リスク、準備金積立リスク、ALMリスク、投資リスク、流動性リスク、集中リスク、オペレーショナルリスク、コンダクトリスク、再保険・その他リスク軽減技法に関するリスクです。
IAISが「保険者によるストレステストに関する指針」で分類している7つのリスクカテゴリーは何ですか？,保険リスク、市場リスク、信用リスク、流動性リスク、オペレーショナルリスク、グループリスク、システミックリスクです。
旧「保険検査マニュアル」における「保険引受リスク」とは何を指しますか？,経済情勢や保険事故の発生率等が予測に反して変動し、保険会社が損失を被るリスクです。
旧「保険検査マニュアル」において、資産運用リスクを構成する3つのリスクは何ですか？,市場リスク、信用リスク、不動産投資リスクです。
市場リスクを構成する主な3つのリスクは何ですか？,金利リスク、為替リスク、価格変動リスクです。
信用リスクのうち、与信先の属する国の外貨事情や政治・経済情勢等により損失を被るリスクを特に何と呼びますか？,カントリーリスクです。
オペレーショナルリスク等を構成する4つのリスク（旧保険検査マニュアル基準）は何ですか？,事務リスク、システムリスク、流動性リスク、その他オペレーショナルリスクです。
流動性リスクは、2つの具体的なリスクから構成されます。それらは何ですか？,資金繰りリスクと市場流動性リスクです。
金融庁が「保険会社向けの総合的な監督指針」で定義しているERM（統合的リスク管理）は、何のバランスをコントロールし、何を図る枠組みですか？,リスク・リターン・資本のバランスをコントロールし、財務の健全性の確保、資本効率の向上、リスク対比の収益性の向上を図る枠組みです。
国際アクチュアリー会（IAA）が整理したERMの6つの特徴を挙げてください。,継続的プロセス、全社的観点、全リスク対象、プラスとマイナスの両面、価値増大目的、短期的・長期的側面の考慮です。
ISO31000におけるリスク管理プロセスの構成要素は何ですか？,コミュニケーションおよび協議、適用範囲・状況・基準、リスクアセスメント、リスク対応、モニタリングとレビュー、記録作成および報告です。
リスクアセスメントは、3つのプロセスから構成されます。それらは何ですか？,リスクの特定、リスク分析、リスク評価です。
リスクのレベルを決定する2つの要素は何ですか？,リスク発現の蓋然性とリスク発現時の影響度です。
リスクのレベルを視覚的に表示し、俯瞰的に理解するために用いられるツールは何ですか？,リスクマップです。
リスクアセスメントの結果を踏まえて実施されるリスク対応の4つの基本的な選択肢は何ですか？,回避、低減、移転、保有です。
IAISのERMフレームワークにおいて、リスク特定および相互依存性の分析範囲に少なくとも含めるべきリスクは何ですか？,保険リスク、市場リスク、信用リスク、集中リスク、オペレーショナルリスク、流動性リスクです。
IAISのERMフレームワークにおけるリスク測定のための定量的技法には、どのようなものがありますか？,リスクのモデル化、ストレステスト（リバース・ストレステストを含む）、シナリオ分析などです。
使用するモデルが不適当であり、経営判断等を誤るリスクを何と呼びますか？,モデルリスクです。
リスク選好方針（リスクアペタイトステートメント）では、何を明確に示す必要がありますか？,保険会社が財務上・戦略上の目的達成のため、リスク負担能力の範囲内で積極的に引き受けるリスクの全体的な水準と種類です。
IAISのERMフレームワークにおいて、策定が求められる4つのリスク管理方針は何ですか？,ALM方針、投資方針、保険引受方針、流動性リスク管理方針です。
ORSAとは何の略称ですか？また、日本語では何と訳されますか？,Own Risk and Solvency Assessmentの略称で、「リスクとソルベンシーの自己評価」と訳されます。
ORSAの継続性分析では、何を分析しますか？,事業を継続する能力、ならびに規制資本要件の算定に通常用いられるよりも長い期間にわたって事業を継続するために必要なリスク管理および財務リソースを分析します。
多くの会社で採用されているリスクガバナンスのモデルで、3つのラインで責任を分担するものは何ですか？,「3つの防衛ライン」モデルです。
リスクガバナンスにおける「第1のライン」の役割は何ですか？,ビジネスの通常業務の責任を担い、その一環としてリスクの特定・評価等のリスク管理を自ら行うことです。
リスクガバナンスにおける「第2のライン」の役割は何ですか？,ビジネスのサポートおよびモニタリング、また第1ラインの業務監督の責任を担うことです。（例：リスク管理部門、コンプライアンス部門）
リスクガバナンスにおける「第3のライン」の役割は何ですか？,独立した評価、および第1ライン、第2ラインの業務を保証する責任を担うことです。（例：内部監査部門）
「組織内の個人と集団の行動規範と伝統であり、組織が直面しているリスクを特定、理解、議論し、それに対して行動する方法を決めるもの」と定義される概念は何ですか？,リスク文化です。
エマージングリスクとは、どのように定義されますか？,「進展しつつあるか、変化しつつあり、定量化が難しく、会社に大きな影響を及ぼす可能性があるリスク」です。（例：気候変動、サイバーリスク）
リスクモデルの方法論として決定しておくべき6つの要素は何ですか？,評価の枠組み、計測期間、リスク尺度、信頼水準、期間末準備金、経営陣による承認です。
モデルガバナンスを整備する目的の一つは何ですか？,モデルリスクを最小化することです。
リスクモデルによる結果と実際に発生した結果とを比較・検証するテストを何と呼びますか？,バックテストです。
引き受けたリスクに対する利益を示し、リスク対比の収益性を表す指標を何と呼びますか？,ROR（Return On Risk）です。
有限の経営資源である資本を有効活用し、RORの高い事業に資本を配分する経営管理手法を何といいますか？,資本配分制度（または資本配賦制度）です。
現在の日本のソルベンシー規制の根幹をなす制度は何ですか？,ソルベンシー・マージン制度です。
ソルベンシー・マージン比率が一定水準を下回った場合に、行政が保険会社に経営改善を求めることができる制度は何ですか？,早期是正措置制度です。
ソルベンシー・マージン比率の計算式を示してください。,ソルベンシー・マージン比率 = ソルベンシー・マージン総額 ÷ (1/2 × 通常の予測を超えるリスクの合計額)
保険業法第130条に基づき、ソルベンシー・マージン比率が何パーセント以上であることが求められていますか？,200パーセント以上です。
ソルベンシー・マージンの分子を構成する「ソルベンシー・マージン総額」とは、何を意味しますか？,保険会社が責任準備金を超えて保有する支払余力であり、リスクに対する備えを意味します。
ソルベンシー・マージン総額の計算上、ダブル・ギヤリングとして控除されるのはどのような場合ですか？,他の保険会社等のソルベンシー・マージン比率向上のため、意図的に当該他の保険会社等の資本調達手段を保有している場合です。
ソルベンシー・マージン総額の構成要素のうち、純資産及び内部留保的性格の強い準備金等で構成され、他の項目の算入限度となるものは何ですか？,中核的支払余力（コア・マージン）です。
日本のソルベンシー・マージン基準におけるリスクの合計額の計算式を簡略的に示してください。,リスクの合計額 = $\sqrt{（一般保険リスク＋第三分野保険の保険リスク）^2 ＋（予定利率リスク＋資産運用リスク）^2}$ ＋ 経営管理リスク ＋ 巨大災害リスク
ソルベンシー・マージン制度における「一般保険リスク」は、どの保険種類を対象としていますか？,火災（除く家計地震）、傷害、自動車、船舶、貨物、その他（除く自賠責・金融保証）の6種類です。
一般保険リスク額の算出にあたり、各保険種類のリスク額は2つの基準で計算し、いずれか大きい方を採用しますが、その2つの基準とは何ですか？,保険料基準と保険金基準です。
巨大災害リスクは、2つの災害の再来を想定してリスク額を算出します。その2つの災害とは何ですか？,地震（関東大震災を想定）と風水災（伊勢湾台風を想定）です。
巨大災害リスク額は、地震災害リスク額と風水災害リスク額のどちらで計算されますか？,地震災害リスク額と風水災害リスク額のいずれか大きい方です。
予定利率リスクとは、どのようなリスクですか？,積立保険において、実際の運用利回りが契約者に保証している予定利率を下回り、「逆ざや」が生じるリスクです。
資産運用リスクは、6つのリスクの合計額です。それらを挙げてください。,価格変動等リスク、信用リスク、子会社等リスク、デリバティブ取引リスク、信用スプレッドリスク、再保険リスクおよび再保険回収リスクです。
価格変動等リスク額の計算において、国内株式のリスク係数は何パーセントですか？,20%です。
信用リスクの計算において、信用供与先の格付けが最も高い「ランク1」に分類される国の中央政府等に対するリスク係数は何パーセントですか？,0%です。
子会社等リスクの計算で、国内の金融関連業務を行う子会社株式に対するリスク係数は、非金融関連業務よりも高いですか、低いですか？,高いです（金融関連30.0%、非金融関連20.0%）。
経営管理リスク額は、どのように算出されますか？,（保険リスク額＋第三分野保険の保険リスク額＋予定利率リスク額＋資産運用リスク額）に所定のリスク係数（通常2%）を乗じて算出されます。
連結ソルベンシー・マージン比率の規制が導入された背景には、どのような理由がありますか？,金融危機、グループ内での資本移転、国際的なグループ規制強化との足並みを揃えることなどがあります。
単体のソルベンシー規制と連結のソルベンシー規制における、子会社リスクの捉え方の最も大きな違いは何ですか？,単体では子会社株式等を資産運用リスクとして捉えるのに対し、連結では各子会社の資産や保険料等を合算してグループ全体のリスクを直接計算します。
早期是正措置制度において、ソルベンシー・マージン比率が200%未満100%以上の場合、どのような命令が出されますか？,第1区分に該当し、「改善計画の提出・実行命令」が出されます。
早期是正措置制度において、ソルベンシー・マージン比率が0%未満の場合、どのような命令が出されますか？,第3区分に該当し、「期限を付した業務の全部または一部の停止命令」が出されます。
IAISが策定した、保険規制・監督に関する世界的な共通の枠組みは何ですか？,保険基本原則（Insurance Core Principles: ICP）です。
IMF・世界銀行が各国の保険規制・監督のICP遵守状況を評価するプログラムは何ですか？,金融セクター評価プログラム（Financial Sector Assessment Program: FSAP）です。
破綻した場合に世界の金融システム上重要な影響を与える可能性のある保険グループとして特定されたものを何と呼びますか？,G-SIIs（Global Systemically Important Insurers）です。
国際的に活動する保険グループ（IAIGs）に適用される、各国監督者が連携して監督するための共通の規制枠組みは何ですか？,コムフレーム（ComFrame）です。
コムフレームで開発が進められている、連結かつ経済価値ベースの国際資本基準は何ですか？,国際資本基準（Insurance Capital Standard: ICS）です。
経済価値ベースのソルベンシー評価において、保険負債は主に2つの要素から構成されます。それらは何ですか？,期待される将来キャッシュフローの現在価値（現在推計）とリスクマージンです。
資産・負債・所要資本・利用可能資本の間の相互依存関係を認識し、バランスシート全体の構成要素に影響するリスクを統合的に評価する手法を何といいますか？,トータル・バランスシート・アプローチです。
現在の日本のソルベンシー規制に代わる、経済価値ベースの新たな資本規制は、何年度の導入を目指して検討が進められていますか？,2025年度の導入を目指して検討が進められています。（2023年2月改訂時点）
保険会社が経営破綻した場合に、他の保険会社からの拠出金を原資として保険契約者等を保護する制度を総称して何といいますか？,支払保証制度です。
日本の損害保険における保険契約者保護制度を運営する認可法人は何ですか？,損害保険契約者保護機構です。
損害保険契約者保護機構による補償において、自賠責保険や地震保険の保険金はどのくらいの割合で補償されますか？,100%補償されます。
損害保険契約者保護機構による補償において、自動車保険や、個人が契約する火災保険などの保険金は、破綻後3ヶ月経過後はどのくらいの割合で補償されますか？,80%補償されます。（破綻後3ヶ月以内は100%）
IAISが例示する「保険引受リスク」の要因には、どのようなものがありますか？（2つ挙げてください）,保険料設定の十分性、クレーム経験の不確実性、再保険料率の大幅な上昇などがあります。
IAISが例示する「巨大災害リスク」の要因には、どのようなものがありますか？（2つ挙げてください）,巨大災害に対する許容能力、手配した再保険が消尽する可能性、巨大災害モデルの前提の適切性などがあります。
IAISが例示する「市場リスク」の要因には、どのようなものがありますか？（2つ挙げてください）,金利動向、各種資産の価格変動、資産と負債のミスマッチの程度などがあります。
IAISが例示する「信用リスク」の要因には、どのようなものがありますか？（2つ挙げてください）,再保険者の破綻、取引先の信用度の低下、担保の質の低下などがあります。
IAISが例示する「流動性リスク」の要因には、どのようなものがありますか？（2つ挙げてください）,資産と負債のキャッシュフローのミスマッチ、資産を迅速に売却できないこと、保険金の急激な流出などがあります。
IAISが例示する「オペレーショナルリスク」の要因には、どのようなものがありますか？（2つ挙げてください）,事業継続管理計画（BCM）の十分性、不正行為の発生可能性、風評リスク、法的リスクなどがあります。
ORSAを通じて、会社は自身の何を分析・評価し、何を確保する必要がありますか？,自身によるリスクの分析やリスクの評価を行い、資本の十分性や効率性を確保する必要があります。
ORSAの実施責任は、組織のどのレベルが負いますか？,組織の最高レベルである取締役会および管理者が負います。
保険会社にとって不利に働く悪条件が、資産・負債や事業活動にどのような影響を及ぼすか検討する管理手法は何ですか？,ストレステストです。
特定の指標（例：損害率）が変化した際の、会社の資本状況の変化の度合いを測る分析手法を何といいますか？,感応度分析です。
ある時点または期間に発生しうる事象を特定し、それが事業活動等に与える影響を検討する分析手法を何といいますか？,シナリオ分析です。
特定の財務的損失額を発生させることが予想されるシナリオを分析するストレステストを何と呼びますか？,リバースストレステストです。
保険負債の経済価値評価を行う際、将来最も起こりそうなキャッシュフローだけでなく、確率的な変動も考慮した現在価値の期待値を何といいますか？,現在推計（または最良推計）です。
保険負債の経済価値評価において、将来キャッシュフローの金額やタイミングの不確実性に備える上乗せ要素を何といいますか？,リスクマージンです。
リスクマージンの計算方法の一つで、保険債務を果たすために必要な資本を保持するためのコストを現在価値に割り引く手法を何といいますか？,資本コスト法です。
EUで2016年1月から導入された、経済価値ベースの保険監督制度は何ですか？,ソルベンシーⅡです。
IFRS第17号（保険契約）において、保険負債を計算するための原則的な測定モデルは何ですか？,"一般的な測定モデル（General Measurement Model, GMM）です。"
