損害保険会社が決算において、既発生の保険金債務を適切に見積もり、貸借対照表上に負債として計上するものを何というか。,支払備金
損益計算の観点から、支払備金はどのような会計原則を満たすために必要か。,費用収益対応の原則
損益計算書において、当期支払備金は費用として、前期支払備金は収益として計上される。それぞれの勘定科目は何か。,当期支払備金は「支払備金繰入額」、前期支払備金は「支払備金戻入額」として計上される。
損益計算における当期発生保険金の計算式を答えよ。,当期発生保険金 = 当期支払保険金 + 当期末支払備金 - 前期末支払備金
当期発生保険金の計算式に含まれる「前期以前発生事故の（当期支払保険金＋当期末支払備金－前期末支払備金）」という項は何を表しているか。,当期において把握された前期末支払備金の過不足を表している。
決算と料率算定では、支払備金の積立過不足の扱いが異なる。決算における扱いの特徴は何か。,過年度の損益を修正せず、当期の損益に影響させる形で処理する。
料率算定において、翌年度以降に認識された未払保険金の過不足はどのように扱われるか。,当該保険事故の発生した年度の発生損害の増減として認識される。
一般的に、物的損害と人的損害では、どちらが保険金の支払完了までに長期間を要する傾向にあるか。,人的損害
保険会社への事故報告の有無によって、支払備金は主に2つの種類に分類される。その2つは何か。,既報告未払損害に対する見積額（普通支払備金）と、既発生未報告損害に対する見積額（IBNR備金）。
IBNR備金のうち、文字通り既発生でまだ報告されていない損害に対する備金を特に何と呼ぶか。,真性IBNR備金（IBNYR Reserve）
既発生未払損害全体から既報告損害に対する備金を控除する形で算出されるIBNR備金を何と呼ぶか。,IBNER Reserve (Incurred But Not Enough Recorded Reserve)
決算日時点で未確定の損害調査費（unpaid loss adjustment expenses）は、日本では積立義務がないが、米国などでは積立てられている。この費用は米国の実務で2種類に大別される。その2つは何か。,ALAE (allocated loss adjustment expenses) と ULAE (unallocated loss adjustment expenses)
個々の案件処理に直接関連して支出される損害調査費（例：通信費）を何というか。,ALAE (allocated loss adjustment expenses)
損害調査部門の社員給与など、個々の案件に直接関係なく間接的に賦課される損害調査費を何というか。,ULAE (unallocated loss adjustment expenses)
支払備金の算出方法を見積りの対象によって分類した場合、どのような4つの方法があるか。,①既報告未払損害額、②既発生未報告損害額、③既発生未払損害額全体、④総発生保険金額を見積もる方法
「総発生保険金 = 累計支払保険金 + _____ + 既発生未報告損害額」の空欄を埋めよ。,既報告未払損害額
支払備金の算出方法を見積手法によって分類した場合、どのような4つの方法があるか。,①個別見積法、②算式見積法、③統計的見積法、④予定損害率または予測損害率による見積法
チェインラダー法やボーンヒュッター・ファーガソン法は、将来のロスを期待値として1点で予測する手法であり、_____手法に分類される。,決定論的
ベイジアンメソッドやマックモデルは、将来のロスを確率分布として一定の幅で予測する手法であり、_____手法に分類される。,確率論的
支払備金の見積りに影響を及ぼす諸条件を5つ挙げよ。,①インフレーション、②支払完了までに要する時間、③危険の構造、④引受契約集団の規模、⑤損害に係る社会の動向
会計日のすべての未払案件について、個々の支払見込額を積算する方法を何というか。,個別見積法（Case Estimate）
個別見積法は、特にどのような特徴を持つ保険種目に優れた方法か。（2点）,事故頻度が小さく損害額に大きなバラつきのある保険種目、または事故発生から支払完了までの期間が比較的短い保険種目
最初の事故報告時点で一律定額を積み立て、一定期間後により詳細な情報に基づいて個別見積りを行う方法を何というか。,延期個別見積法（Deferred Case Estimate）
過去の経験値から算出した平均保険金に既報告未払クレーム件数を乗じて支払備金を算出する方法を総称して何というか。,平均保険金積立法（統計的個別見積法）
日本の保険業法において、支払備金の積立てを定めているのは第何条か。,第117条
保険業法施行規則第72条では、法第117条第1項の「支払義務が発生したものに準ずるもの」として、どのような保険金を定義しているか。,まだ支払事由の発生の報告を受けていないが、支払事由が既に発生したと認める保険金等
保険業法施行規則第73条第1項第1号は、_____に対する支払備金の積立てを規定している。,既発生既報告の保険事故（普通支払備金）
保険業法施行規則第73条第1項第2号は、_____に対する支払備金の積立てを規定している。,既発生未報告の保険事故（IBNR備金）
保険契約を再保険に付した場合、一定の条件を満たす出再先については、その部分に相当する責任準備金等を積み立てないことができる。この規定を何というか。,再保険の不積立
法令上、IBNR備金の積立てが義務付けられていない保険種目は何か。（2つ）,地震保険と自賠責保険
IBNR備金の具体的な計算方法は、平成10年_____第234号に定められている。,大蔵省告示
IBNR備金の計算にあたり、まず保険種類ごと・引受区分別の単位を何と呼ぶか。,計算単位
IBNR備金の計算方法を決定するために行われる検証プロセスは、一般的に何と呼ばれているか。,スクリーニング
スクリーニングにおいて、「保険金等の支払が長期間に及ぶ」と判断される基準（ロングテール判定）は、直近3事業年度のある割合の平均値が何%未満の場合か。,90%
